symbols,brain > body (default),brain >= body,brain non-zero
CA12,0,1,1
CACNA1A,1,1,1
CACNA1B,1,1,1
CACNA1C,0,1,1
CACNA1D,0,1,1
CACNA1E,1,1,1
CACNA1F,0,1,1
CACNA1S,0,1,1
DDR1,0,1,1
CACNA2D1,0,1,1
CACNB1,1,1,1
CACNB2,0,1,1
CACNB3,0,1,1
CACNB4,1,1,1
CACNG1,0,1,1
SLC25A20,0,0,1
CAD,0,0,1
CALB1,1,1,1
CALB2,1,1,1
S100G,0,0,0
CALCA,0,0,0
CALCB,0,1,1
CALCR,0,0,0
CALD1,0,0,1
CALM1,1,1,1
CALM2,1,1,1
CALM3,1,1,1
CALML3,0,1,1
CALR,0,0,1
CALU,0,0,1
CAMK4,1,1,1
CAMK2A,1,1,1
CAMK2B,1,1,1
CAMK2D,0,1,1
CAMK2G,0,1,1
CAMLG,0,1,1
CAMP,0,0,1
CANX,0,0,1
CAPG,0,0,1
CAPN1,0,0,1
CAPN2,0,0,1
CAPN3,0,1,1
CAPNS1,0,0,1
CAPN6,0,0,0
CAPS,0,0,1
CAPZA1,0,0,1
CAPZA2,0,0,1
CAST,0,0,1
CAPZB,0,0,1
CARS,0,0,1
CASP1,0,0,1
CASP2,0,0,1
CASP3,0,0,1
CASP4,0,0,1
CASP5,0,0,0
CASP6,0,0,1
CASP7,0,0,1
CASP8,0,0,1
CASP9,0,1,1
CASP10,0,0,1
CASQ1,0,1,1
CASQ2,0,0,1
CASR,0,0,0
CAT,0,0,1
CAV1,0,0,1
CAV2,0,0,1
CAV3,0,1,1
RUNX2,0,0,1
RUNX1,0,0,1
RUNX1T1,0,1,1
CBFA2T3,0,1,1
RUNX3,0,0,1
CBFB,0,0,1
SERPINA6,0,0,0
CBL,0,1,1
CBLB,0,0,1
CBLN1,1,1,1
SERPINH1,0,0,1
CBR1,1,1,1
CBR3,0,1,1
CCIN,0,1,1
KYAT1,0,1,1
CCK,1,1,1
CCKAR,0,0,0
CCKBR,1,1,1
KRIT1,0,0,1
CCNA2,0,0,1
CCNB1,0,1,1
CCNC,0,0,1
CCND2,0,0,1
CCND3,0,1,1
CCNE1,0,1,1
CCNF,0,1,1
CCNG1,0,0,1
CCNG2,0,1,1
CCNH,0,0,1
CCNT1,0,0,1
CCNT2,0,0,1
CCT6A,0,0,1
CD1A,0,0,0
CD1B,0,0,0
CD1C,0,0,0
CD1D,0,0,1
CD1E,0,0,0
CD2,0,0,1
CD3D,0,0,1
CD3E,0,0,1
CD3G,0,0,1
CD247,0,1,1
CD4,0,0,1
CD5,0,0,1
CD5L,0,0,0
CD6,0,1,1
CD7,0,0,1
CD8A,0,1,1
CD8B,0,0,1
CD8B2,1,1,1
CD9,0,0,1
CD14,0,0,1
CD19,0,1,1
MS4A1,0,1,1
MS4A3,0,0,0
CD22,1,1,1
CD27,0,0,1
CD28,0,0,1
CD80,0,1,1
CD86,0,1,1
TNFRSF8,0,1,1
TNFSF8,0,0,1
CD33,0,0,1
SIGLEC6,0,0,0
CD34,0,0,1
CD36,0,0,1
SCARB1,0,1,1
SCARB2,0,1,1
CD37,0,0,1
CD38,0,1,1
ENTPD1,0,0,1
ENTPD2,0,1,1
ENTPD6,0,1,1
ENTPD3,1,1,1
ENTPD5,0,0,1
CD40,0,0,1
CD40LG,0,0,0
CD44,0,0,1
CD47,0,1,1
CD48,0,0,1
CD53,0,0,1
CD58,0,0,1
CD59,0,0,1
CD63,0,0,1
CD68,0,0,1
CD69,0,0,1
CD70,0,0,0
CD72,0,0,1
CD74,0,0,1
CD79A,0,0,1
CD79B,0,0,1
CD81,0,0,1
ADGRE5,0,0,1
CD151,0,0,1
CDA,0,0,1
CDK1,0,0,1
CDK11B,0,0,1
LRBA,0,0,1
CDC5L,0,0,1
SEPTIN7,0,0,1
CDC6,0,1,1
CDC20,0,0,1
CDC25A,0,1,1
CDC25B,0,1,1
CDC25C,0,1,1
CDC27,0,0,1
CDC34,0,1,1
CDC42,0,0,1
CDH1,0,0,1
CDH2,1,1,1
CDH3,0,1,1
CDH4,1,1,1
CDH5,0,0,1
CDH6,0,1,1
CDH7,1,1,1
CDH8,1,1,1
CDH9,0,0,0
CDH10,1,1,1
CDH11,0,1,1
CDH12,1,1,1
CDH13,0,1,1
CDH15,0,1,1
CDH16,0,0,0
CDH17,0,1,1
CDH18,1,1,1
CDK2,0,0,1
CDK3,0,0,1
CDK4,0,0,1
CDK5,1,1,1
CDK6,0,0,1
CDK7,0,0,1
CDK8,0,0,1
CDK9,0,1,1
CDKN1A,0,0,1
CDKN1B,0,1,1
CDKN1C,0,0,1
CDKN2A,0,1,1
CDKN2B,0,0,1
CDKN2C,0,0,1
CDKN2D,1,1,1
CDKN3,0,1,1
CDO1,1,1,1
CDR1,1,1,1
CDR2,0,0,1
CDS1,1,1,1
CDSN,0,0,0
CD52,0,0,1
CDX1,0,1,1
CDX2,0,0,0
CDX4,0,0,0
CLGN,0,1,1
CEACAM5,0,0,0
CEBPA,0,1,1
CEBPB,0,0,1
CEBPD,0,0,1
CEBPE,0,1,1
CEBPG,0,1,1
CEL,0,1,1
CENPA,0,0,1
CENPB,0,1,1
CENPC,0,0,1
CENPE,0,1,1
CENPF,0,0,1
CES1,0,0,1
CETN1,0,0,0
CETN2,0,1,1
CETN3,0,1,1
CETP,0,0,1
CFL1,0,1,1
CFL2,0,1,1
CTSC,0,0,1
CFTR,0,1,1
CGA,0,1,1
CGB3,0,0,0
CEACAM3,0,1,1
CEACAM7,0,0,0
CEACAM8,0,1,1
CEACAM4,0,0,1
CHAD,1,1,1
RCBTB2,0,0,1
CHAT,0,0,0
RCC1,0,0,1
CHD1,0,0,1
CHD2,0,0,1
CHD3,0,1,1
CHD4,0,0,1
AKR1C4,0,0,0
CHEK1,0,0,1
FOXN3,0,0,1
CHGA,1,1,1
CHGB,1,1,1
CHI3L1,0,1,1
CHI3L2,0,1,1
CHIT1,0,1,1
CHKA,0,1,1
CHKB,0,0,1
CHM,0,1,1
CHML,0,0,1
CHN1,1,1,1
CHN2,1,1,1
CHRM1,1,1,1
CHRM2,0,1,1
